SURVIVOR;DD/MMM;/YEAR;RESULT;RD;DECEASED;AGE;MV;ALPHA;CITY;STATE/CTY/PROV;COUNTRY;WEIGHT;SOURCE/REMARKS;CHAMPIONSHIP;PRO/AM/TOUGHMAN;TYPE;WHERE;CAUSALITY/LEGAL;;
Soldier Underwood;22-Feb;1924;KO;2;Larry Murray;;;murray;Canal Zone;Panama;USA;Welter;"New York Times, February 23, 1924; Fort William (Ontario) Daily Times-Journal, February 23, 1924. Murray was knocked down by a blow to the chin, and death occurred within the hour. Cause of death was cerebral hemorrhage. Boxing was legalized in the Canal Zone in 1923, and ""Two stadiums have been erected, one on the East and one on the West Coast, each with a seating capacity of 4,500. Terry Richards, matchmaker, is now in New York rounding up talent and expects to return shortly with a score of prominent maulers who will show their wares to the Panama hat contingent."" Plattsburgh (New York) Daily Republican, December 27, 1923, cited at http://esf.uvm.edu/vtbox/Historical.html"; ;Pro;Brain injury;Ring;; ;
"""Big Joe"" Harnick";3-Apr;1924;Sparring;;"Earnest ""Count"" Loske";32;;loske;Kansas City;Missouri;USA;Middle;"Port Arthur (Texas) News, April 4, 1924; (Lincoln) Nebraska State Journal, April 5, 1924. Loske was sparring with his trainer."; ;Pro;;Ring;; ;
Ralph Varn;12-Apr;1924;Ldec;3;Pal Moore;21;;moore;Wilmington;North Carolina;USA;Feather;"Atlanta (Georgia) Constitution, April 13, 1924; Port Arthur (Ontario) Daily News-Chronicle, April 14, 1924. Moore went the distance, but collapsed in the dressing room after the fight. Cause of death was listed cerebral hemorrhage caused by over-exertion.";;Pro;Brain injury;Ring;Over-exertion; ;
Jimmy Picardi;22-Apr;1924;KO;1;Michael Molinari;21;;molinar;Boston;Massachusetts;USA;Bantam;"New York Times, April 21, 1924; Fort William (Ontario) Daily Times-Journal, April 24, 1924; Port Arthur (Ontario) Daily News-Chronicle, April 23, 1924; Syracuse (New York) Herald, April 24, 1924; New York Times, April 24, 1924. Cause of death was listed as concussion of the brain. The State Boxing Commission ruled cause of death to be ""unavoidable accident.""";AAU championships;Amateur;Brain injury;Ring;; ;
Harry Gordon;3-May;1924;KO;15;George Mendies;26;Y;mendies;Sydney;New South Wales;Australia;Fly;"Melbourne (Australia) Argus, May 7, 1924; New York Times, May 7, 1924. Mendies was flyweight champion of Australia. His head struck the floor, and he died on May 6 without regaining consciousness. Cause of death was listed as brain concussion."; ;Pro;Brain injury;Ring;; ;
"Namen ""Dixie"" LaHood";8-May;1924;KO;10;Olin Porter (Eddie Neil);21;Y;porter;Butte;Montana;USA;Bantam;"Tacoma News Tribune, June 4, 1924, 16; New York Times, June 5, 1924, 17. The fight had been postponed a week because Porter had a cold. During the tenth round, Porter went down hard, and he died at home on June 4, 1924. The cause of death was listed as cerebral hemorrhage. There is information about LaHood, a Butte constable, in Bell, 1985, 63-66, but nothing on this fight."; ;Pro;Brain injury;Ring;; ;
Leo Stokes (Sailor Bosco);16-May;1924;KO;7;Alexander Michaluk;;;michaluk;Fernie;British Columbia;Canada;Middle;Lethbridge (Alberta) Herald, May 20, 1924. Michaluk died two days later. Cause of death was attributed to the rupture of small blood vessels in the head.; ;Pro;Brain injury;Ring;; ;
ND;May/;1924;Sparring;;Joe Minehan;19;;minehan;Boston;Massachusetts;USA;ND;New York Times, June 26, 1924. Minehan was from Boston College, and he was expected to make the 1924 Olympics team. However, he collapsed during a training bout, and he died June 25, 1924. Cause of death was listed as anemia.; ;Amateur;Anemia;Ring;; ;
Harry Twist (Kid Runcorn);21-Jul;1924;KO;;William James Plaine (Joe Mehan); ;;plaine;Assiniboi;Saskatchewan;Canada;ND;"Prince Rupert (British Columbia) Daily News, July 22, 1924; Portsmouth (Ohio) Daily Times, July 22, 1924; (Winnepeg) Manitoba Free Press, July 22, 1924; Ottawa Citizen, July 22, 1924. Death was attributed to a basal skull fracture causing an internal cranial hemorrhage."; ;Pro;Brain injury;Ring;; ;
William Duff;2-Sep;1924;KO;;Raymond Morris;16; ;morris ;Hartford City;Indiana;USA;ND;"New York Times, September 4, 1924; Charleston (West Virginia) Gazette, September 4, 1924; Chicago Daily Tribune, September 4, 1924. Morris and Duff decided to settle a dispute over the hazing of Morris's younger brother with a formal boxing match. Morris died. ";;Amateur;;Ring;Misadventure;;
Lew Mayrs;3-Sep;1924;KO;12;Charles Holman (The Fighting Parson);24;Y;holman;Baltimore;Maryland;USA;Feather;"Dallas Morning Tribune, September 5, 1924; New York Times, September 5, 1924. According to the Times, Holman's ""wife was at ringside. When he sank down in the twelfth round she seized a towel and threw it into the ring to save him from further punishment."" Cause of death was hemorrhage of the brain."; ;Pro;Brain injury;Ring;; ;
ND;21-Sep;1924;KO; ;Ronald McCallum; ; ;mccallum;Palmerston South; ;New Zealand;ND;(Adelaide, Australia) Advertiser, September 22, 1924. McCallum was knocked down. He reportedly sturck the back of his head on the floor, and he died soon afterwards.; ;Pro;Brain injury;Ring;;;
ND;Oct/;1924;Sparring; ;Richard Holmes;37; ;holmes;Cootamundra;New South Wales;Australia;ND;Melbourne (Victoria) Argus, October 24, 1924. After boxing, Holmes complained of a headache. Then he died.; ;Amateur;Brain injury;Soon after; ;;
Alberto Icochea (or Ycochea);27-Oct;1924;KO;2;Ralph Tomasa (Ralph Thomas);30;Y;tomasa;Yonkers;New York;USA;Middle;"New York Times, October 28, 1924, 19; New York Times, October 29, 1924; e-mail from Ralph Thomas (the deceased's nephew), November 24, 2006; http://boxrec.com. From 1921-1923, Thomas, an Italian immigrant who changed his name in America, played semi-pro football for a Cleveland, Ohio, team called the Favorite Knits. Following the 1923 football season, he moved to New York, where he took up boxing. In New York, he had at least one prior pro fight (against Mickey Crusco, in March 1924). His day job was as a plumber, and he worked the day of the fatal fight. He was not scheduled to fight that night; instead, he volunteered to fill in for a boxer who did not show up. During the first round of the fight, the match was relatively even, but during the second round, Thomas was hit hard under the heart. Thomas backed up, and then suddenly collapsed. He was counted out and failed to revive. He was pronounced dead at the hospital. Cause of death was listed as acute dilation of the heart. "; ;Pro;Cardiac;Ring;Misadventure;Ralph Thomas (a nephew born the following year), bjt034@cox.net; 
ND;Nov/;1924;KO;;"Alfred ""Young"" Tanguay";19;;tanguay;Portland;Maine;USA;Bantam;"San Antonio (Texas) Express, December 8, 1924; Portsmouth (Maine) Herald, December 8, 1924. At least two Maine boxers fought as Young Tanguay during the mid-1920s, to include one who was boxing as late as September 1925. Anyway, Alfred Tanguay was hit hard over the heart. He collapsed, and he died in hospital in Lewiston, Maine, on December 6, 1924. Cause of death was brain hemorrhage."; ;Pro;Brain injury;Ring;; ;
Lawrence Smith (Young Jack Farley);17-Dec;1924;KO;2;Patsy Ciaccio (Kid Ryan); ;;ciaccio;Seattle;Washington;USA;Welter;"New York Times, December 18, 1924; Oakland Tribune, December 18, 1924. Ciaccio was knocked down, and died almost instantly. Additional detail from http://boxrec.com: ""When Ciaccio fell to the canvas, the crowd jeered and yelled 'Fake!' He died shortly after being knocked-out. It soon was determined he actually had died of double pneumonia. His widow informed the press that he had agreed to enter the ring when offered $2.50 to fight, because they were destitute. The 'promoter' tried to convince authorities this had been only an exhibition, as he had not obtained a proper license for this show. Farley [a lightweight] was with Co. K, 4th Infantry, U.S. Army,"" which was then at Fort Lawton. "; ;Pro;Pneumonia;Ring;Misadventure; ;
Carl Coltrin (Kentucky Coke);18-Dec;1924;KO;1;"John B. ""Jack"" Tait ";19;Y;tait;Miles City;Montana;USA;ND;"Lincoln (Nebraska) State Journal, December 19, 1924; Fort William (Ontario) Daily Times-Journal, December 19, 1924; Helena (Montana) Independent, December 20, 1924; Los Angeles Times, December 20, 1924; Montana State Genealogical Society and Ancestry.com. Montana Death Index, 1907-2002 [database on-line]. This was Tait's first pro fight, and it lasted about thirty seconds. There was a flurry. Tait stepped back, and then fell over backward. Cause of death given as paralysis of the heart."; ;Pro;Cardiac;Ring;Misadventure; ;
Tibby Watson;30-Dec;1924;KO;2;Reginald Anderson;21;Y;anderson;Sydney;New South Wales;Australia;Bantam;Melbourne (Australia) Argus, January 1, 1925. Anderson had been boxing for about two years. Six ounce gloves were worn, and there was a medical exam before the fight. Anderson was knocked down, and struck his head on the floor. He did not get up. He was taken to the hospital, where he died two days later. Autopsy revealed that Anderson's blood vessels were in poor condition. Cause of death was listed as apoplexy.; ;Pro;Apoplexy;Ring;Misadventure; ;
Joe Falks;ND;1924;KO;;Joe Stevenson;;Y;stevenson;ND;;New Zealand;ND;http://www.geocities.com/kiwiboxing/ringdeaths.htm;;Amateur;;Ring;; ;
"Francis ""Mickey"" McVeigh";25-Jan;1925;TKO;4;D.T. Cyzowski (Gunboat Skee);25;Y;cyzowski;Newburgh;New York;USA;Welter;"Middletown (New York) Daily Times-Press, January 24, 1925; Middletown (New York) Daily Herald, January 24, 1925; New York Times, January 25, 1925; Kingston (New York) Daily Freeman, January 26, 1925. Cyzowski was a sailor aboard USS Rochester, and the match was sponsored by the New York National Guard. In the third round, Cyzowski was saved by the bell, and in the fourth, he was counted out. He did not get up, so he was carried to the dressing room. The doctor could not revive him, either, so an ambulance was called. He died in hospital. Cause of death was cerebral hemorrhage."; ;Pro;Brain injury;Ring;Misadventure; ;
ND;28-Jan;1925;Sparring; ;George Perry;25; ;perry;Bristol;Connecticut;USA;ND;Hartford (Connecticut) Courant, January 29, 1925. Following a bout at the Wooster Athletic Club, Perry took a drink of cold water and then collapsed. Club manager Henry Combe began telephoning doctors, but all said told Combe that they would see the patient tomorrow. By the time the city medical examiner arrived, Perry was dead. Cause of death was attributed to a weak heart. ; ;Amateur;Cardiac;Ring;Misadventure;;
Carl Hansen;5-Feb;1925;KO;2;Stanton Stever;19;;stever;Syracuse;New York;USA;Welter;"Syracuse (New York) Herald, February 6, 1925; Olean (New York) Evening Herald, February 6, 1925; New York Times, February 6, 1925. Stever, a sophomore, was participating in a match at the Syracuse University gym to determine who would represent Syracuse during a forthcoming varsity contest with US Naval Academy. Twelve-ounce gloves were being worn. During the second round, Stever appeared winded, and Hansen knocked him down with a solid blow to the head. Stever did not get up, and he did not regain consciousness. Cause of death was listed as hemorrhage on the surface of the brain imposed upon an abcess of the sinus. Stever had a history of surgeries for sinus conditions, and it was the second time in two weeks that Hansen had knocked him out."; ;Amateur;Brain injury;Ring;Prior injury; ;
"William George ""Pop"" Humphreys";8-Feb;1925;TKO;6;"Charles Edward ""Teddy"" Sheppard";21;;sheppard;London;London;England;Welter;"(Dublin) Irish Times, February 9, 1925; Middletown (New York) Daily Herald, February 9, 1925; London Times, February 13, 1925; Manchester Guardian, February 13, 1925; ""Boxing: On the ropes?"" MEPO 2/2215, http://www.pro.gov.uk/inthenews/boxing/Boxing4.htm. Sheppard wanted a job at the boxing booth. So, the booth owner gave him the opportunity to show his mettle. The rounds were two minutes in length, and the match was scheduled for 10 rounds. However, the bout was stopped in the sixth after Sheppard started hanging all over Humphreys. The boxers shook hands with each other and then the referee. Sheppard then collapsed to the floor. He was pronounced dead on the scene. Cause of death was said to have been a blow near the heart."; ;Pro;Cardiac;Ring;Misadventure; ;
Charles Purdy;8-Feb;1925;Sparring; ;Hans Stehr;22; ;stehr;Auckland; ;New Zealand;ND;(Adelaide, Australia) Advertiser, February 9, 1925. Purdy was a professional boxer, and the men were sparring in the gym when Stehr collapsed. Cause of death was attributed to heart failure.; ;Pro;Cardiac;Ring;;;
Sabino Mola;23-Mar;1925;KO;9;Angel Barreras;;Y;barreras;Camaguey;;Cuba;Light Heavy;"Manuel Velazquez collection; http://www.boxrec.com ";;Pro;;Ring;; ;
Robert Lovell (Gypsy Williams);3-Apr;1925;KO;10;"Harold ""Kid"" Ryle";16;Y;ryle;Toledo;Ohio;USA;Feather;"Chicago Daily Tribune, April 9, 1925; (Lincoln) Nebraska State Journal, April 10, 1925. This was the sixth time the two had met, and Ryle had won the previous five matches. Nonetheless, following surgery to remove a blood clot in the brain, Ryle died in hospital on April 8. The coroner attributed death to a fractured skull. The promoter said Ryle had lied about his age."; ;Pro;Skull fracture;Ring;; ;
William Bonsor;6-Apr;1925;KO;3;Richard William Spooner;27;;spooner;Coventry;West Midlands;England;ND;(Glasgow) Scotsman, April 9, 1925. Spooner was knocked down by a blow to the jaw. He did not get up, and died in hospital. Cause of death was hemorrhage of the brain.; ;Pro;Brain injury;Ring;; ;
Roland Todd;Apr/;1925;Sparring; ;James Bennett;21; ;bennett;Barnsley;South Yorkshire;England;ND;Manchester (England) Guardian, April 30, 1925. Bennett was a sparring partner for middleweight champion Roland Todd. Five days after taking a solid blow on the left side of the chin, Bennett died. Cause of death was hemorrhage following concussion of the brain. The jury ruled misadventure. ; ;Pro;Brain injury;Soon after;Misadventure;;
Bobby Allen;16-Apr;1925;Ldec;10;Harry Simone;24;Y;simone;San Bernardino ;California;USA;Welter;"New York Times, April 20, 1925; Oakland Tribune, April 20, 1925; New York Times, April 21, 1925. About five hours after the fight, Simone fell unconscious. He died in hospital following an operation. Death was attributed to cerebral hemorrhage."; ;Pro;Brain injury;Soon after;Prior injury; ;
Nina Roundtree;Jun/;1925;Sparring;;George Schofield;50;;schofield;Heaven City ;Illinois;USA;ND;"Chicago Tribune, June 14, 1925; Olean (New York) Times, June 16, 1925; Syracuse (New York) Herald, July 26, 1925. Heaven City was a commune outside Harvard, Illinois, and Roundtree was Schofield's 15-year-old girlfriend. Schofield boasted that he was a boxer, and to prove it, he sparred a male member of the commune. However, he fared badly against the man. Roundtree was not impressed, so she put on the gloves herself. She then proceeded to box, while Schofield proceeded to have a heart attack."; ;Amateur;Cardiac;Ring;; ;
Jimmy McLarnin;4-Jul;1925;Ldec;10;Francisco Guilledo (Pancho Villa) ;24;Y;guilledo;Oakland;California;USA;Fly;"Honolulu Advertiser, July 15, 1925; Kingston (New York) Daily Freeman, July 15, 1925; Lester Bromberg, Boxing's Unforgettable Fights (New York: Ronald Press, 1962), 132-133; Murray Greig, Goin' the Distance: Canada's Boxing Heritage (Toronto: Macmillan Canada, 1996).  Guilledo went into the fight knowing he had impacted teeth. He could have postponed the fight, but according to his handlers, he didn't want to cause them to lose any money. Afterwards, he went to the dentist to have the teeth removed and he died; cause of death was toxemia resulting from spread of infection."; ;Pro;Toxemia;Later;Misadventure; ;
